ingredient,skin_type,effect,confidence
shea and cocoa butters,dry,good,low
shea and murumuru seed butters,dry,good,low
shea butter and borage seed oil,dry,good,low
shea butter and evening primrose oil,dry,good,low
shea butter and jojoba oil,dry,good,low
shea butter from natural origin,dry,good,low
shea butter glycereth-8 esters,dry,good,low
shea nilotica,normal,neutral,low
shorea robusta,normal,neutral,low
"shorea stenoptera seed butter,* caprylic capric triglyceride",dry,good,low
sichuan pepper,normal,neutral,low
sida cordifolia oil,dry,good,low
sida cordifolia oil [sesamum indicum seed oil,dry,good,low
signal peptide complex,wrinkle,good,low
silica beads and bamboo powder,oily,good,low
silica caprylyl silylate,oily,good,low
silica cetyl silylate,oily,good,low
silica dimethyl silicate,oily,good,low
silica dimethyl silyate,oily,good,low
silica dimethyl silylate,oily,good,low
silica dimethyl silylate; caprylyl glycol,oily,good,low
silica dimethyl silytate,oily,good,low
silica microsponges,oily,good,low
silica powder and java tea extract,oily,good,low
silica treated pigment,oily,good,low
silica),oily,good,low
"silica,rosmarinus officinalis leaf oil",oily,good,low
silicathe list of ingredients is subject to change,oily,good,low
silicone dioxide,,neutral,low
silicone wrap,,neutral,low
simmondsia chinensis butter jojoba butter,dry,good,low
simmondsia chinensis oil jojoba seed oil,dry,good,low
simmondsia chinensis seed oil jojoba seed oil,dry,good,low
simmondsia chinensis seed oil simmondsia chinensis seed oil,dry,good,low
simmondsiachinensis seed oil,dry,good,low
six-acid blend,normal,neutral,low
skin barrier complex,normal,neutral,low
skin density,normal,neutral,low
skin firming peptides,wrinkle,good,low
skin-identical ceramides,"dry,sensitive",good,medium
skin-smoothing peptide complex,wrinkle,good,low
skin-wrapping ingredient with rice germ oil,dry,good,low
sli-polypeptide-121,wrinkle,good,low
slim sculpt complex,normal,neutral,low
slow-release retinoid formula that avoids irritation aqua,,neutral,low
smart peptides,wrinkle,good,low
smoother feel simmondsia chinensis seed oil,dry,good,low
smoother skin,normal,neutral,low
smooths skin,normal,neutral,low
smooths texture,normal,neutral,low
snap eight peptide,wrinkle,good,low
snow mushroom and glycerin,"dry,sensitive",good,medium
sodiaum hyaluronate and squalane,dry,good,medium
sodium acrylate sodium acryloyldimethyl taureate copolymer,,neutral,low
"sodium benzoate,tocopherol",,neutral,low
sodium borate,,neutral,low
sodium cocoamphohydroxypropylsulfonate,,neutral,low
sodium cocoate,"dry,sensitive",good,low
sodium cocoylglutamate,,neutral,low
sodium dehyrdoacetate,,neutral,low
sodium diglycolate,,neutral,low
sodium dihydroacetate,,neutral,low
sodium glycerophosphata,"oily,pigmentation",good,medium
sodium glycyrrhetinate,,neutral,low
sodium hyaluronate complex,"dry,sensitive",good,medium
sodium hyaluronate olea europaea oil,"dry,sensitive",good,medium
sodium hyaluronate powder,"dry,sensitive",good,medium
"sodium hyaluronate,sodium hydroxide","dry,sensitive",good,medium
"sodium hyaluronate,tocopheryl acetate","dry,sensitive",good,medium
sodium hydroxypropylphosphate,"oily,pigmentation",good,medium
sodium hylauronate,,neutral,low
sodium lauroylglutamate,,neutral,low
sodium lignosulfonate,,neutral,low
sodium magnesium silicate,oily,good,low
sodium metabisulfate,,neutral,low
sodium metabisulte,,neutral,low
sodium metasilicate,oily,good,low
sodium methylparaben,,neutral,low
sodium myristate,,neutral,low
sodium olivate,,neutral,low
sodium oxide,,neutral,low
sodium palmamphoacetate,,neutral,low
sodium pantothenate,,neutral,low
sodium potassium aluminum silicate,oily,good,low
sodium silicate,oily,good,low
sodiumhyaluronate,"dry,sensitive",good,medium
sodiumlauroyl lactylate,normal,neutral,low
soft aura white cocktail complex,normal,neutral,low
soft-focus complex,normal,neutral,low
solanum xanthocarpum,normal,neutral,low
soothe skin,normal,neutral,low
soothes redness,normal,neutral,low
soothing antioxidants,normal,neutral,low
"sorbitan laurate,tocopherol","pigmentation,wrinkle",good,low
sorbitan oilivate,dry,good,low
sorbitan tristearatee,,neutral,low
sorbiton olivate,normal,neutral,low
soya proteins,normal,neutral,low
soybean oil unsaponifiables,dry,good,low
soybean-derived hyaluronic acid,"dry,sensitive",good,medium
spanish lavender,sensitive,good,low
spf 45,"sensitive,pigmentation",good,low
spf 50+ uva uvb,"sensitive,pigmentation",good,low
spot resist complex,normal,neutral,low
squalane & 5 types of hyaluronic acid,"dry,sensitive",good,medium
squalane and aloe leaf juice,dry,good,medium
squalane and ceramides,dry,good,medium
squalane and hyaluronic acid,"dry,sensitive",good,medium
squalane derived from sugarcane,dry,good,medium
squalane olive,dry,good,medium
"squalane,avena sativa kernel extract",dry,good,medium
sr-spider polypeptide-1,wrinkle,good,low
stabilized retinol,wrinkle,good,medium
star aster,normal,neutral,low
star flower,normal,neutral,low
starch octenylsuccinate,,neutral,low
starflower oil,dry,good,low
stearalkonium bentonite,normal,neutral,low
stearoyl glutamate,normal,neutral,low
steartrimonium bromide,normal,neutral,low
"stearyl alcohol,propanediol,glycerin","dry,sensitive",good,medium
stearyl ether,,neutral,low
stearyl phosphate,"oily,pigmentation",good,medium
stearyl triethoxysilane,,neutral,low
stem cell complex,normal,neutral,low
step 01 super booster,normal,neutral,low
styrene oxide,,neutral,low
styrene),normal,neutral,low
sugar biovector,normal,neutral,low
sugar cane,normal,neutral,low
sugar carbohydrate complex,normal,neutral,low
sugar crystals,normal,neutral,low
sugar maple,normal,neutral,low
sugar prebiotic,normal,neutral,low
sugar*+,normal,neutral,low
sugar+,normal,neutral,low
sugar-derived squalane and brazilian curupay extract,dry,good,medium
sugar-derived tanning booster,normal,neutral,low
sugarcane squalane,dry,good,medium
sugarcane-derived hemisqualane,dry,good,medium
sugarcane-derived squalane,dry,good,medium
sugarleaf flower,normal,neutral,low
sulfur powder,normal,neutral,low
sunflower and ginger root oils,dry,good,low
sunflower and jojoba seed oils,dry,good,low
sunflower ceramide complex,dry,good,low
sunflower oil,dry,good,low
sunflower oil and coconut oil,dry,good,low
sunflower seed oil and evodia rutaecarpa fruit extract,dry,good,low
sunscreen residue,"sensitive,pigmentation",good,low
super bio-hyaluronic acid,"dry,sensitive",good,medium
super lotus,normal,neutral,low
super vitamin c,"pigmentation,wrinkle",good,medium
superberry antioxidants,normal,neutral,low
superfine sugar + silica exfoliants,oily,good,low
superfood blend,normal,neutral,low
support elasticity,normal,neutral,low
supports natural ceramide and hyaluronic acid production,"dry,sensitive",good,medium
sustainable apple-saccharide superfood complex,pigmentation,good,low
sustained release hyaluronic acid,"dry,sensitive",good,medium
sweet almond oil and castor oil,dry,good,low
sweet cherry seed oil,dry,good,low
sweet citrus,normal,neutral,low
syn-ake peptide complex,wrinkle,good,low
synchroshield technology,normal,neutral,low
synergen recovery complex,normal,neutral,low
synthetic bristles,normal,neutral,low
synthetic bristles fibers,normal,neutral,low
synthetic sapphire,normal,neutral,low
"s​alvia sclarea oil,​ tocopherol","pigmentation,wrinkle",good,low
tamarind and hyaluronic acid,"dry,sensitive",good,medium
tanacetum annuum oil,dry,good,low
tangerine and sweet orange essential oils,dry,good,low
tangerine leaf oil,dry,good,low
tangerine peel extract and niacinamide,"oily,pigmentation",good,medium
tasmanian pepperberry,normal,neutral,low
tazman pepper,normal,neutral,low
tea tree,oily,good,low
tea tree essential oil,dry,good,low
tea tree extract,oily,good,low
tea tree leaf oil,dry,good,low
tea tree oil and black cumin seed oil,dry,good,low
terminalia bellirica,normal,neutral,low
tetrahexlydecyl ascorbate,normal,neutral,low
tetrahexyldecyl ascorbate targets visible signs of aging,normal,neutral,low
tetrapeptide,wrinkle,good,low
tetrapeptide blend,wrinkle,good,low
tetrapeptide),wrinkle,good,low
tetrapeptide-14,wrinkle,good,low
tfc8,normal,neutral,low
that works to help absorb sebum,normal,neutral,low
thd ascorbate,normal,neutral,low
thd ascorbate vitamin c,"pigmentation,wrinkle",good,medium
thd vitamin c,"pigmentation,wrinkle",good,medium
the charcoal mask,oily,good,low
the list of ingredients is subject to change,,neutral,low
theobroma cacao butter,dry,good,low
theobroma cacao seed butter cocoa seed butter,dry,good,low
theobroma grandflorum seed butter,dry,good,low
theobroma grandiflorum,normal,neutral,low
thermal active technology,normal,neutral,low
three ceramides,"dry,sensitive",good,medium
three forms of vitamin c,"pigmentation,wrinkle",good,medium
three molecular sizes of hyaluronic acid,"dry,sensitive",good,medium
three types of vitamin c and tranexamic acid,pigmentation,good,medium
three-step stain mixing technology,normal,neutral,low
thuja occidentalis leaf oil,dry,good,low
thuja plicata wood oil,dry,good,low
thyme flower leaf oil,dry,good,low
tightens pores,normal,neutral,low
time-release retinol,wrinkle,good,medium
time-release technology,normal,neutral,low
time-release vitamin c,"pigmentation,wrinkle",good,medium
time-released retinol,wrinkle,good,medium
tinospora cordifolia,normal,neutral,low
tocopherol antioxidant vitamin e,"pigmentation,wrinkle",good,low
tocopherol oil,"pigmentation,wrinkle",good,low
tocopherol+,"pigmentation,wrinkle",good,low
tocopherollimonene,sensitive,avoid,low
tocophersolan,normal,neutral,low
"tocopheryl acetate,tocopherol","pigmentation,wrinkle",good,low
tocopherylacetate,,neutral,low
tocophérol,normal,neutral,low
tocotrienol complex,"pigmentation,wrinkle",good,low
tocotrienols antioxidant vitamin e,"pigmentation,wrinkle",good,low
tomato fruit,normal,neutral,low
tonka bean oil,dry,good,low
trade secret blend of essential oils,dry,good,low
trade secret blend of essential oils and botanicals,dry,good,low
tranexamic acid and niacinamide,pigmentation,good,medium
treats dryness,normal,neutral,low
tremella fuciformis,dry,good,low
tremella mushroom,dry,good,low
tri-acid complex,normal,neutral,low
tri-active peptides,wrinkle,good,low
tri-peptide,wrinkle,good,low
tri-peptide and hyaluronic acid complex,"dry,sensitive",good,medium
tri-peptides,wrinkle,good,low
tricalcium phosphate,"oily,pigmentation",good,medium
trimethoxybenzylidene pentanedione,normal,neutral,low
trimethylsiloxysilicate dimethiconol crosspolymer,oily,good,low
tripeptide,wrinkle,good,low
tripeptide complex,wrinkle,good,low
tripeptide-5,wrinkle,good,low
triple bio-peptide blend,wrinkle,good,low
triple ceramide complex,"dry,sensitive",good,medium
triple hyaluronic acid,"dry,sensitive",good,medium
triple peptide blend,wrinkle,good,low
triple vitamin c complex,"pigmentation,wrinkle",good,medium
triple vitamin c complex with gold delivery system,"pigmentation,wrinkle",good,medium
triple-ceramide blend,"dry,sensitive",good,medium
triple-peptide complex,wrinkle,good,low
trisodium ethylenediamine,,neutral,low
trisodium ethylenediaminedisuccinate,,neutral,low
trométhamine,normal,neutral,low
true-c complex,normal,neutral,low
tsubaki oil,dry,good,low
tula complex,normal,neutral,low
turmeric butter,dry,good,low
turmeric root extract limonene citral sclareolide rosa spp,sensitive,avoid,low
two 100% naturally sourced plant sugars,normal,neutral,low
two forms of enhanced vitamin c,"pigmentation,wrinkle",good,medium
two types of hyaluronic acid,"dry,sensitive",good,medium
ultra-sheer zinc oxide,sensitive,good,medium
ultramarine blue,normal,neutral,low
unclog pores,normal,neutral,low
undaria pinnatifida,normal,neutral,low
uneven texture,normal,neutral,low
unrefined sclerocraya birrea kernel oil,dry,good,low
unum usitatissimum seed oil,dry,good,low
up-cycled blueberry seed oil,dry,good,low
upcycled kalahari melon oil and raspberry seed oil,"oily,pigmentation",good,low
upcycled olive seed powder and jojoba beads,dry,good,low
uv-responsive carotenoid technology,normal,neutral,low
uvb,normal,neutral,low
vaccinium angustifolium fruit extract) lactic acid,"oily,pigmentation,dry",good,medium
vaccinium corymbosum oil,dry,good,low
valeriana brunoniana,normal,neutral,low
valeriana wallichii,normal,neutral,low
vanilla apricot,normal,neutral,low
vanillosmopsis erythropappa wood oil,dry,good,low
vegan and natural tanning active,normal,neutral,low
vegan hyaluronic acid and ceramides,"dry,sensitive",good,medium
vegan lactic acid,"oily,pigmentation,dry",good,medium
vegan oil complex,dry,good,low
vegan retinol,wrinkle,good,medium
vegan retinyl linoleate,,neutral,low
vegan squalane,dry,good,medium
vegan squalane and ceramides,dry,good,medium
vegetable derived,normal,neutral,low
vegetable glycerin,"dry,sensitive",good,medium
vegetable oil huile v&#233;g&#233;tale,dry,good,low
vegetable oil huile végétale,dry,good,low
vegetable oil olus oil huile végétale,dry,good,low
vegetable-derived ceramides,"dry,sensitive",good,medium
vegetarian capsule,normal,neutral,low
vetiver oil,dry,good,low
vetivera zizanoides oil,dry,good,low
vetiveria zizanioides root oil,dry,good,low
vetiveria zizanoides root oil,dry,good,low
vinergy complex,normal,neutral,low
viola odorata leaf oil,dry,good,low
violet flower,normal,neutral,low
virgin coconut oil,dry,good,low
virgin marula luxury facial oil,dry,good,low
virgin marula oil,dry,good,low
visible firmness,normal,neutral,low
visible wrinkles,normal,neutral,low
visibly age-defying effectiveness aqua,,neutral,low
visibly clarifies complexion,normal,neutral,low
visibly cleans pores,normal,neutral,low
visibly cleanse,normal,neutral,low
visibly enhance glow,normal,neutral,low
visibly evens skin tone,normal,neutral,low
visibly improve texture,normal,neutral,low
visibly increases thickness,normal,neutral,low
visibly minimizes fine lines and wrinkles,,neutral,low
visibly plump,normal,neutral,low
visibly plump skin,normal,neutral,low
visibly plumping,normal,neutral,low
visibly plumping seaweed hyaluronate blend,"dry,sensitive",good,medium
visibly plumps,normal,neutral,low
visibly plumps fine lines and wrinkles,normal,neutral,low
visibly rebalances,normal,neutral,low
visibly refine,normal,neutral,low
visibly resurfaces,normal,neutral,low
visibly smooth skin,normal,neutral,low
visibly smooths skin overnight for glowing,,neutral,low
visibly smooths texture,normal,neutral,low
visibly soften,normal,neutral,low
visibly softens,normal,neutral,low
visibly supports natural skin elasticity,normal,neutral,low
visibly transform skin quality,normal,neutral,low
visit the amorepacific boutique,normal,neutral,low
visit the bareminerals boutique,,neutral,low
visit the beautybio boutique,normal,neutral,low
visit the coola boutique,normal,neutral,low
visit the dermaflash boutique,normal,neutral,low
visit the dr jart+ boutique,normal,neutral,low
visit the dr. dennis gross skincare boutique,,neutral,low
visit the erno laszlo boutique,normal,neutral,low
visit the fenty beauty by rihanna boutique,,neutral,low
visit the fresh boutique,normal,neutral,low
visit the it cosmetics boutique,normal,neutral,low
visit the kat von d boutique,normal,neutral,low
visit the kenzoki boutique,normal,neutral,low
visit the kopari boutique,normal,neutral,low
visit the l'occitane boutique,normal,neutral,low
visit the la mer boutique,normal,neutral,low
visit the lightstim boutique,normal,neutral,low
visit the make up for ever boutique,normal,neutral,low
visit the makeup eraser boutique,normal,neutral,low
visit the murad boutique,normal,neutral,low
visit the origins boutique,normal,neutral,low
visit the skin inc supplement bar boutique,,neutral,low
visit the supergoop! boutique,normal,neutral,low
visit the tata harper boutique,normal,neutral,low
vitamin a in sacha inchi oil,dry,good,low
vitamin b3 niacinamide,"oily,pigmentation",good,medium
vitamin blend,"wrinkle,pigmentation",good,low
vitamin c and bulgarian rose damascena complex,"pigmentation,wrinkle",good,medium
vitamin c and d boosters,"pigmentation,wrinkle",good,medium
vitamin c and e and ferulic acid,"pigmentation,wrinkle",good,medium
vitamin c and hyaluronic acid,"dry,sensitive",good,medium
vitamin c and yerba mate,"pigmentation,wrinkle",good,medium
vitamin c complex,"pigmentation,wrinkle",good,medium
vitamin c derivative,"pigmentation,wrinkle",good,medium
vitamin c ester,"pigmentation,wrinkle",good,medium
vitamin c ethyl,"pigmentation,wrinkle",good,medium
vitamin c from kakadu plum,"pigmentation,wrinkle",good,medium
vitamin c supercharge blend,"pigmentation,wrinkle",good,medium
vitamin c superfruit complex,"pigmentation,wrinkle",good,medium
vitamin c+,"pigmentation,wrinkle",good,medium
vitamin e & sodium hyaluronate,"dry,sensitive",good,medium
vitamin e 3% and ferulic acid,"pigmentation,wrinkle",good,medium
vitamin e acetate,"pigmentation,wrinkle",good,low
vitamin e and antioxidant-rich kukui oil,"pigmentation,wrinkle",good,low
vitamin e and echinacea,"pigmentation,wrinkle",good,low
vitamin e and ferulic acid,"pigmentation,wrinkle",good,medium
vitamin e and shea butter,"pigmentation,wrinkle",good,low
vitamin e and sweet almond oil,"pigmentation,wrinkle",good,low
vitamin trio,"wrinkle,pigmentation",good,low
vitis vinifera oil,dry,good,low
vitis vinifera sead oil,dry,good,low
vitis vinifera seed oil grape seed oil,"pigmentation,wrinkle",good,low
vitis vinifera seed oil; acacia decurrens flower cera,dry,good,low
vitis vinlfera seed oil,dry,good,low
vitus vinifera seed oil,dry,good,low
volatile ultra-fine oils,dry,good,low
volcanic ash and activated charcoal,oily,good,low
volcanic clusters,normal,neutral,low
volcanic postbiotic complex,normal,neutral,low
volcanic sand and silica,oily,good,low
volcanic soil,dry,good,low
vp8 technology,normal,neutral,low
water butyrospermum parkii butter,dry,good,low
watermelon seed butter,dry,good,low
watermelon seed oil,dry,good,low
wetforce technology,normal,neutral,low
wetforce technology with ionic mineral sensor,,neutral,low
wheat germ oil unsaponifiables,dry,good,low
while bha cleanses pores for smoother,oily,good,low
white cabbage,normal,neutral,low
white charcoal pore pudding,oily,good,low
white floral complex,normal,neutral,low
white horehound,normal,neutral,low
white peony,normal,neutral,low
white stargrass,normal,neutral,low
white team,normal,neutral,low
wild butterfly ginger,dry,good,low
wild butterfly ginger root,dry,good,low
wild butterfly ginger root extract,dry,good,low
wild melon seed oil,dry,good,low
wild rose oil,dry,good,low
wildcrafted frankincense,normal,neutral,low
willow bark bha,oily,good,low
willow bark extract and salicylic acid,oily,good,medium
winged kelp,dry,good,low
winter cherry,normal,neutral,low
wintergreen oil,dry,good,low
withania somnifera [sesamum indicum oil,"wrinkle,sensitive",good,low
wrinkleresist24 technology with super bio-hyaluronic acid,"dry,sensitive",good,medium
wy),normal,neutral,low
xiyuan jade,normal,neutral,low
ylang ylang flower oil,dry,good,low
youth-building peptides and retinol,wrinkle,good,medium
youthful radiance kaolin,oily,good,low
zea mays germ oil corn germ oil,dry,good,low
zea mays oil corn oil,dry,good,low
zea mays oil zea mays oil,dry,good,low
zerumbet ginger,sensitive,good,low
zinc and copper gluconates,,neutral,low
zinc asparate,normal,neutral,low
zinc citrate,,neutral,low
zinc complex,normal,neutral,low
zinc compound,normal,neutral,low
zinc gluconate glycerin,"dry,sensitive",good,medium
zinc glycinate chelate,normal,neutral,low
zinc lactate,,neutral,low
zinc of natural origin,normal,neutral,low
zinc oxide 1742% indimethicone,sensitive,good,medium
zinc oxide 20%water,sensitive,good,medium
zinc oxide 220%water,sensitive,good,medium
zinc oxide 234% inaqua water eau,sensitive,good,medium
zinc oxide 30%water,sensitive,good,medium
zinc oxide 38%water,sensitive,good,medium
zinc oxide 442% water,sensitive,good,medium
zinc oxide 50%water,sensitive,good,medium
zinc oxide 690%water,sensitive,good,medium
zinc oxide 960%water,sensitive,good,medium
zinc oxide and titanium dioxide,sensitive,good,medium
zinc oxide cyclopentasiloxane,sensitive,good,medium
zinc pca and niacinamide,"oily,pigmentation",good,medium
zinc ricinoleate,,neutral,low
zinc stearate,,neutral,low
zingiber officinale,normal,neutral,low
zingiber officinale root extract lactic acid,"oily,pigmentation,dry",good,medium
zingier officinale root oil,dry,good,low
ziziphus mauritiana,normal,neutral,low
éthylhexylglycérine,normal,neutral,low
"​bambusa arundinacea stem extract,​ glycerin","dry,sensitive",good,medium
​lactic acid​,"oily,pigmentation,dry",good,medium
​piper nigrum seed oil​,dry,good,low
"​squalane,​ stearic acid",dry,good,medium
